Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
1916/12/31,,747.8665783,,761111.3830123,66106,33662.87969,130986.170212766,,107588,19194.81961,808.4922895,,4987192.565,22104.05607,,,3822847.221,309120.3116,,19223.64544,7822,,10574,342382,15656,,,,12709.5,69371,8670.889779,,,119107,,40401.99367,146195.3157,,,,67272,375062,256196.2314,,158603,181880,19341,5820,13864188.29,460.1188
1917/06/30,,,,,,,,,,,,60226.97723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917/12/31,,752.8786296,,766233.5460341,68869,30935.23968,131146.808510638,,107045,21000.36097,780.2039652,,5094537.498,22378.0982,,,3819328.035,309995.0579,,20574.3238,8280,,10962,399342,15411,,,,12561.1,80382,8343.284822,,,119324,,37820.75073,132878.4233,,,,66336,345871,258044.6828,,149195,154103,18926,4889,15107504.97,537.0697
1918/06/30,,,,,,,,,,,,59291.24737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918/12/31,,845.3172929,,771394.2683211,64837,36606.5723,131467.021276596,,110974,20579.06841,745.1366656,,5159377.093,22655.15177,,,3298846.785,316224.2084,,22251.90779,7923,,11029,455960,14632,,,,12272.1,78733,10139.30641,,,115488,,35474.02021,127550.2993,,,,65610,323121,263588.9509,,144319,121571,18536,4238,16410886.38,533.4998
1919/06/30,,,,,,,,,,,,60567.24264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919/12/31,,815.2470869,,776594.7937204,60543,37953.28943,105781.914893617,,133998,22204.0557,829.473741,,4426550.194,22935.21679,,,3749007.539,346235.5242,,21832.5118,9651,,11397,438266,14951,,,,12466.1,79968,8341.811901,,,108952,,43961.44256,149406.2024,,,,66341,337501,237483.6477,,162885,143259,15642,5118,17230755.06,498.5943
1920/06/30,,,,,,,,,,,,57249.65492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920/12/31,,779.6078183,,781810.2452869,60325,40715.13841,114998.936170213,,109093,24972.55255,838.1989844,,5000260.288,23218.29324,,,3351592.426,336626.9827,,21320.62543,9450,,11509,474992,15686,,,,13857.9,76275,10413.15824,,,111871,,45291.41715,159211.4544,,,,71470,357612,219003.478,,170603,167509,16794,5724,17151170.11,598.5511
1921/06/30,,,,,,,,,,,,65075.75929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921/12/31,,711.6702983,,787084.1576746,54168,41756.50382,128021.276595745,,117179,25017.6907,924.3157442,,4333831.426,23505.8869,,,3639976.284,337443.6404,,22717.54898,9337,,11985,463964,16575,,,,14706,74478,10624.49103,1829849,12912,108605,,48067.01629,143773.9072,,,,73767,325495,196788.3939,,165682,155044,18590,5915,18248833.2,597.3611
1922/06/30,,,,,,,,,,,,68478.41339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922/12/31,,824.1561159,,791907.7973538,62231,45096.28966,139287.234042553,,109076,26271.99496,971.956085,,4492369.641,23796.492,,,3665468.108,346915.5028,,22360.34478,10225,,13019,519584,18600,,,,13846.5,79517,10864.89685,,12844,117769,,50688.41547,159211.4544,,,,76985,348467,209095.4745,,182397,188525,20259,6541,17765321.35,623.1437
1923/06/30,,,,,,,,,,,,70860.27124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923/12/31,,923.8348759,,833101.5309522,66197,50064.37835,115730.85106383,,117628,27802.60169,1037.387296,,5411075.123,24091.61427,,,3543737.873,353957.894,,23090.69979,10069,,13916,487702,19407,,,29281,13762.9,91214,9667.18243,,12778,128719,,51939.68383,163509.1555,,,,78355,369307,215618.2706,,201625,204034,20057,7021,16955963.49,722.7038
1924/06/30,,,,,,,,,,,,73497.32815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
